Product,Sensor 8 in,Sensor 8 out,Sensor 7 in,Sensor 7 out,Sensor 6 in,Sensor 6 out,Sensor 5 in,Sensor 5 out,Sensor 4 in,Sensor 4 out,Sensor 3 in,Sensor 3 out,Sensor 2 in,Sensor 2 out,Sensor 1 in,Sensor 1 out
11,2022-11-04 07:44:19,2022-11-04 07:47:19,2022-11-04 07:44:21,2022-11-04 07:47:20,2022-11-04 07:44:24,2022-11-04 07:47:23,2022-11-04 07:44:24,2022-11-04 07:47:23,2022-11-04 07:39:15,2022-11-04 07:42:12,2022-11-04 07:48:35,2022-11-04 07:48:47,2022-11-04 07:45:57,2022-11-04 07:46:20,2022-11-04 07:35:27,2022-11-04 07:35:30
12,2022-11-04 07:47:28,2022-11-04 07:50:28,2022-11-04 07:47:28,2022-11-04 07:50:27,2022-11-04 07:47:29,2022-11-04 07:50:31,2022-11-04 07:47:32,2022-11-04 07:50:31,2022-11-04 07:42:21,2022-11-04 07:45:20,2022-11-04 07:51:42,2022-11-04 07:51:54,2022-11-04 07:49:03,2022-11-04 07:49:27,2022-11-04 07:39:30,2022-11-04 07:39:34
13,2022-11-04 07:50:36,2022-11-04 07:53:29,2022-11-04 07:50:35,2022-11-04 07:53:32,2022-11-04 07:50:37,2022-11-04 07:53:33,2022-11-04 07:50:40,2022-11-04 07:53:34,2022-11-04 07:45:28,2022-11-04 07:48:27,2022-11-04 07:54:48,2022-11-04 07:55:00,2022-11-04 07:52:11,2022-11-04 07:52:34,2022-11-04 07:42:35,2022-11-04 07:42:39
14,2022-11-04 07:53:37,2022-11-04 07:56:34,2022-11-04 07:53:41,2022-11-04 07:56:37,2022-11-04 07:53:42,2022-11-04 07:56:40,2022-11-04 07:53:42,2022-11-04 07:56:40,2022-11-04 07:48:35,2022-11-04 07:51:35,2022-11-04 07:57:53,2022-11-04 07:58:05,2022-11-04 07:55:16,2022-11-04 07:55:40,2022-11-04 07:45:43,2022-11-04 07:45:48
15,2022-11-04 07:56:45,2022-11-04 07:59:41,2022-11-04 07:56:46,2022-11-04 07:59:41,2022-11-04 07:56:49,2022-11-04 07:59:43,2022-11-04 07:56:49,2022-11-04 07:59:43,2022-11-04 07:51:43,2022-11-04 07:54:40,2022-11-04 08:00:58,2022-11-04 08:01:10,2022-11-04 07:58:22,2022-11-04 07:58:45,2022-11-04 07:48:48,2022-11-04 07:48:48
16,2022-11-04 07:59:51,2022-11-04 08:02:48,2022-11-04 07:59:52,2022-11-04 08:02:49,2022-11-04 07:59:56,2022-11-04 08:02:52,2022-11-04 07:59:56,2022-11-04 08:02:52,2022-11-04 07:54:40,2022-11-04 07:54:41,2022-11-04 08:04:05,2022-11-04 08:04:17,2022-11-04 08:01:26,2022-11-04 08:01:50,2022-11-04 07:48:49,2022-11-04 07:48:52
17,2022-11-04 08:04:55,2022-11-04 08:07:58,2022-11-04 08:04:58,2022-11-04 08:08:00,2022-11-04 08:04:59,2022-11-04 08:08:03,2022-11-04 08:04:59,2022-11-04 08:08:03,2022-11-04 07:54:48,2022-11-04 07:57:45,2022-11-04 08:09:33,2022-11-04 08:09:49,2022-11-04 08:04:34,2022-11-04 08:04:57,2022-11-04 07:48:52,2022-11-04 07:48:52
18,2022-11-04 08:08:29,2022-11-04 08:11:27,2022-11-04 08:08:31,2022-11-04 08:11:29,2022-11-04 08:08:34,2022-11-04 08:11:30,2022-11-04 08:08:34,2022-11-04 08:11:31,2022-11-04 07:57:53,2022-11-04 08:00:49,2022-11-04 08:12:46,2022-11-04 08:12:58,2022-11-04 08:10:05,2022-11-04 08:10:28,2022-11-04 07:51:56,2022-11-04 07:52:00
19,2022-11-04 08:11:36,2022-11-04 08:14:30,2022-11-04 08:11:38,2022-11-04 08:14:33,2022-11-04 08:11:40,2022-11-04 08:14:34,2022-11-04 08:11:40,2022-11-04 08:14:34,2022-11-04 08:01:00,2022-11-04 08:03:56,2022-11-04 08:15:49,2022-11-04 08:16:02,2022-11-04 08:13:14,2022-11-04 08:13:38,2022-11-04 07:55:02,2022-11-04 07:55:06
20,2022-11-04 08:14:45,2022-11-04 08:17:38,2022-11-04 08:14:44,2022-11-04 08:17:42,2022-11-04 08:14:45,2022-11-04 08:17:42,2022-11-04 08:14:46,2022-11-04 08:17:43,2022-11-04 08:06:05,2022-11-04 08:09:07,2022-11-04 08:18:57,2022-11-04 08:19:08,2022-11-04 08:16:17,2022-11-04 08:16:41,2022-11-04 07:58:08,2022-11-04 07:58:08
21,2022-11-04 08:17:47,2022-11-04 08:20:46,2022-11-04 08:17:50,2022-11-04 08:20:49,2022-11-04 08:17:51,2022-11-04 08:20:51,2022-11-04 08:17:51,2022-11-04 08:20:51,2022-11-04 08:09:26,2022-11-04 08:09:27,2022-11-04 08:22:05,2022-11-04 08:22:18,2022-11-04 08:19:24,2022-11-04 08:19:48,2022-11-04 07:58:08,2022-11-04 07:58:12
22,2022-11-04 08:20:57,2022-11-04 08:23:59,2022-11-04 08:20:58,2022-11-04 08:23:59,2022-11-04 08:20:59,2022-11-04 08:24:02,2022-11-04 08:21:00,2022-11-04 08:24:02,2022-11-04 08:09:27,2022-11-04 08:09:27,2022-11-04 08:25:14,2022-11-04 08:25:26,2022-11-04 08:22:35,2022-11-04 08:22:57,2022-11-04 08:01:12,2022-11-04 08:01:15
23,2022-11-04 08:24:07,2022-11-04 08:27:01,2022-11-04 08:24:08,2022-11-04 08:27:04,2022-11-04 08:24:11,2022-11-04 08:27:05,2022-11-04 08:24:11,2022-11-04 08:27:06,2022-11-04 08:09:38,2022-11-04 08:12:38,2022-11-04 08:28:20,2022-11-04 08:28:32,2022-11-04 08:25:42,2022-11-04 08:26:07,2022-11-04 08:04:21,2022-11-04 08:04:25
24,2022-11-04 08:27:15,2022-11-04 08:30:12,2022-11-04 08:27:15,2022-11-04 08:30:13,2022-11-04 08:27:18,2022-11-04 08:30:16,2022-11-04 08:27:18,2022-11-04 08:30:16,2022-11-04 08:12:45,2022-11-04 08:15:40,2022-11-04 08:31:29,2022-11-04 08:31:40,2022-11-04 08:28:48,2022-11-04 08:29:13,2022-11-04 08:09:41,2022-11-04 08:09:44
25,2022-11-04 08:38:07,2022-11-04 08:41:08,2022-11-04 08:38:10,2022-11-04 08:41:11,2022-11-04 08:38:11,2022-11-04 08:41:12,2022-11-04 08:38:11,2022-11-04 08:41:13,2022-11-04 08:15:51,2022-11-04 08:18:49,2022-11-04 08:42:27,2022-11-04 08:42:39,2022-11-04 08:31:57,2022-11-04 08:32:20,2022-11-04 08:12:59,2022-11-04 08:12:59
26,2022-11-04 08:41:28,2022-11-04 08:44:29,2022-11-04 08:41:33,2022-11-04 08:44:31,2022-11-04 08:41:37,2022-11-04 08:44:34,2022-11-04 08:41:37,2022-11-04 08:44:34,2022-11-04 08:18:57,2022-11-04 08:21:56,2022-11-04 08:45:46,2022-11-04 08:45:58,2022-11-04 08:42:58,2022-11-04 08:43:21,2022-11-04 08:12:59,2022-11-04 08:13:03
27,2022-11-04 08:45:08,2022-11-04 08:48:10,2022-11-04 08:45:09,2022-11-04 08:48:09,2022-11-04 08:45:12,2022-11-04 08:48:10,2022-11-04 08:45:12,2022-11-04 08:48:11,2022-11-04 08:22:05,2022-11-04 08:25:06,2022-11-04 08:49:26,2022-11-04 08:49:38,2022-11-04 08:46:15,2022-11-04 08:46:38,2022-11-04 08:16:03,2022-11-04 08:16:06
28,2022-11-04 08:48:14,2022-11-04 08:51:18,2022-11-04 08:48:17,2022-11-04 08:51:20,2022-11-04 08:48:18,2022-11-04 08:51:21,2022-11-04 08:48:18,2022-11-04 08:51:22,2022-11-04 08:25:15,2022-11-04 08:28:11,2022-11-04 08:52:36,2022-11-04 08:52:48,2022-11-04 08:49:54,2022-11-04 08:50:18,2022-11-04 08:22:18,2022-11-04 08:22:22
29,,,,,,,,,2022-11-04 08:28:23,2022-11-04 08:31:20,,,,,2022-11-04 08:25:28,2022-11-04 08:25:32
30,,,,,,,,,2022-11-04 08:39:17,2022-11-04 08:42:18,,,,,2022-11-04 08:28:34,2022-11-04 08:28:37
31,,,,,,,,,2022-11-04 08:42:38,2022-11-04 08:45:39,,,,,2022-11-04 08:31:42,2022-11-04 08:31:46
32,,,,,,,,,2022-11-04 08:46:17,2022-11-04 08:49:19,,,,,2022-11-04 08:42:41,2022-11-04 08:42:41
33,,,,,,,,,2022-11-04 08:49:24,2022-11-04 08:52:28,,,,,2022-11-04 08:42:41,2022-11-04 08:42:45
34,,,,,,,,,,,,,,,2022-11-04 08:46:00,2022-11-04 08:46:00
35,,,,,,,,,,,,,,,2022-11-04 08:46:00,2022-11-04 08:46:04
36,,,,,,,,,,,,,,,2022-11-04 08:49:41,2022-11-04 08:49:43
37,,,,,,,,,,,,,,,2022-11-04 08:52:48,2022-11-04 08:52:52
38,,,,,,,,,,,,,,,2022-11-04 08:52:52,2022-11-04 08:52:52
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,
